"BA","playerID"
0.0000,"AbadFernando"
0.2548,"AbreuBobby"
0.2332,"AbreuTony"
0.0000,"AffeldtJeremy"
0.0769,"AldridgeCory"
0.2195,"AlfonzoEliezer"
0.2667,"AllenBrandon"
0.2069,"AlonsoYonder"
0.2565,"AlvarezPedro"
0.2813,"AndersonBryan"
0.1806,"AndersonGarret"
0.2000,"AndersonLars"
0.2951,"AndinoRobert"
0.2653,"AndrusElvis"
0.2609,"AnkielRick"
0.2101,"AnkielRick"
0.1429,"ArencibiaJ. P."
0.2755,"AriasJoaquin"
0.2000,"AriasJoaquin"
0.0000,"ArrietaJake"
0.1471,"ArroyoBronson"
0.0400,"AtilanoLuis"
0.2143,"AtkinsGarrett"
0.0000,"AtkinsMitch"
0.2222,"AusmusBrad"
0.2279,"AvilaAlex"
0.3042,"AvilesMike"
0.2528,"AybarErick"
0.2296,"AybarWilly"
0.0000,"BadenhopBurke"
0.2121,"BaileyHomer"
0.2718,"BakerJeff"
0.2179,"BakerJohn"
0.0000,"BakerScott"
0.2083,"BaldelliRocco"
0.2000,"BannisterBrian"
0.2249,"BarajasRod"
0.2969,"BarajasRod"
0.1786,"BardenBrian"
0.2143,"BardJosh"
0.2351,"BarmesClint"
0.2405,"BarneyDarwin"
0.2543,"BartlettJason"
0.2734,"BartonDaric"
0.0000,"BassBrian"
0.1250,"BatistaMiguel"
1.0000,"BautistaDenny"
0.2601,"BautistaJose"
0.1250,"BaxterMike"
0.2586,"BayJason"
0.2000,"BeachyBrandon"
0.2523,"BeckhamGordon"
0.0000,"BeimelJoe"
0.2500,"BelisleMatt"
0.0000,"BellHeath"
0.2160,"BelliardRonnie"
0.2138,"BellJosh"
0.0000,"BellTrevor"
0.3209,"BeltreAdrian"
0.2545,"BeltranCarlos"
0.2000,"BensonKris"
0.3333,"BergesenBrad"
0.2450,"BerkmanLance"
0.2547,"BerkmanLance"
0.2464,"BernadinaRoger"
0.2590,"BetancourtYuniesky"
0.2971,"BetemitWilson"
0.1452,"BillingsleyChad"
0.0000,"BlackburnNick"
0.2475,"BlakeCasey"
0.2540,"BlalockHank"
0.2771,"BlancoAndres"
0.3103,"BlancoGregor"
0.2737,"BlancoGregor"
0.2154,"BlancoHenry"
0.1569,"BlanksKyle"
0.1186,"BlantonJoe"
